listing_id,price_egp,area_sqm,bedrooms,bathrooms,floor_number,building_age_years,district,compound_name,distance_to_auc_km,distance_to_mall_km,distance_to_metro_km,finishing_type,has_balcony,has_parking,has_security,has_amenities,view_type,listing_date,days_on_market,seller_type,is_negotiable
NCR-2024-00015,3650000,134,2,2,10,11,Fifth Settlement,Moon Valley,8.5,1.1,11.9,Semi-finished,Yes,Yes,Yes,Yes,Compound,2025-07-18,112,Broker,Yes
NCR-2024-00016,3350000,109,2,2,3,7,Fifth Settlement,,22.9,7.7,12.3,Lux,No,Yes,Yes,Yes,Street,2025-09-02,66,Broker,Yes
NCR-2024-00017,4650000,202,3,3,13,14,Katameya,Lake View,9.0,3.8,10.3,Lux,No,Yes,Yes,Yes,Garden,2025-10-24,14,Broker,Yes
NCR-2024-00018,4750000,206,3,3,8,11,Fifth Settlement,Hyde Park,12.3,5.2,3.3,Super Lux,Yes,No,Yes,No,Garden,2025-08-23,76,Broker,No
NCR-2024-00019,4100000,141,2,1,6,10,Madinaty,Madinaty B4,14.5,5.5,14.2,Lux,No,Yes,Yes,Yes,Garden,2025-08-16,83,Broker,Yes
NCR-2024-00020,2400000,63,1,1,2,18,Madinaty,Madinaty B1,4.3,4.6,11.2,Super Lux,Yes,No,Yes,Yes,Garden,2025-08-14,85,Broker,Yes
NCR-2024-00021,4000000,165,3,3,2,13,Fifth Settlement,Moon Valley,23.4,2.0,3.4,Lux,Yes,Yes,No,Yes,Garden,2025-10-14,24,Broker,Yes
NCR-2024-00022,2050000,70,1,2,9,17,Madinaty,Madinaty B4,10.6,6.2,12.8,Lux,Yes,Yes,Yes,No,Street,2025-06-25,135,Owner,Yes
NCR-2024-00023,2600000,141,3,4,13,12,New Cairo (Other),,3.9,6.5,5.4,Semi-finished,Yes,Yes,Yes,Yes,Street,2025-09-09,59,Broker,Yes
NCR-2024-00024,5550000,213,4,4,7,3,Katameya,Katameya Heights,10.9,4.6,10.0,Semi-finished,Yes,No,Yes,Yes,Garden,2025-06-10,150,Broker,Yes
NCR-2024-00025,2950000,133,2,3,10,16,New Cairo (Other),,15.8,4.2,8.6,Lux,Yes,Yes,No,Yes,Street,2025-10-09,29,Broker,Yes
NCR-2024-00026,2850000,119,2,2,9,18,Fifth Settlement,,13.8,1.4,8.0,Lux,No,No,No,No,Garden,2025-09-06,62,Broker,Yes
NCR-2024-00027,5000000,188,3,3,14,8,Rehab City,Rehab 4,18.0,1.1,13.7,Lux,Yes,Yes,Yes,Yes,Garden,2025-09-13,55,Broker,No
NCR-2024-00028,3900000,151,3,3,6,6,Katameya,Lake View,3.3,3.0,8.2,Unfinished,Yes,No,Yes,Yes,Street,2025-09-30,38,Broker,Yes
NCR-2024-00029,5700000,183,3,3,15,0,Katameya,,8.5,2.8,3.9,Lux,Yes,Yes,Yes,Yes,Garden,2025-10-05,33,Owner,Yes
NCR-2024-00030,5650000,232,4,4,5,6,Fifth Settlement,Moon Valley,20.8,7.7,14.4,Lux,No,No,Yes,No,Garden,2025-09-19,49,Broker,Yes
NCR-2024-00031,3350000,102,2,1,12,6,Fifth Settlement,Moon Valley,3.8,6.4,14.0,Super Lux,Yes,Yes,Yes,Yes,Street,2025-09-14,54,Broker,Yes
NCR-2024-00032,4750000,217,3,4,1,19,Katameya,Lake View,21.7,5.4,11.2,Lux,Yes,No,Yes,No,Garden,2025-08-26,73,Owner,Yes
NCR-2024-00033,3950000,165,3,4,12,6,Fifth Settlement,Mountain View,4.1,4.4,8.6,Lux,Yes,Yes,Yes,No,Compound,2025-09-25,43,Broker,Yes
NCR-2024-00034,4850000,160,3,3,6,7,Katameya,Lake View,21.2,1.8,4.1,Super Lux,Yes,Yes,Yes,Yes,Garden,2025-06-20,140,Broker,Yes
NCR-2024-00035,3050000,117,2,1,6,15,Katameya,Katameya Plaza,10.3,7.8,12.5,Semi-finished,Yes,No,Yes,Yes,Garden,2025-07-02,128,Owner,Yes
NCR-2024-00036,3500000,187,3,3,3,2,Fifth Settlement,,16.1,3.3,3.9,Semi-finished,Yes,Yes,Yes,Yes,Street,2025-08-05,94,Owner,Yes
NCR-2024-00037,3500000,179,3,3,3,12,Madinaty,Madinaty B4,5.5,1.3,3.8,Semi-finished,Yes,Yes,Yes,Yes,Street,2025-09-08,60,Broker,Yes
NCR-2024-00038,3450000,91,2,3,15,9,Rehab City,Rehab 1,3.5,4.2,9.4,Super Lux,Yes,No,Yes,Yes,Street,2025-07-25,105,Owner,Yes
NCR-2024-00039,3750000,131,2,2,3,17,Katameya,Katameya Dunes,7.0,7.1,4.9,Lux,Yes,Yes,Yes,Yes,Compound,2025-06-27,133,Broker,Yes
NCR-2024-00040,5600000,212,3,4,3,6,Fifth Settlement,Moon Valley,4.9,7.2,3.1,Unfinished,Yes,Yes,Yes,Yes,Street,2025-09-30,38,Broker,Yes
NCR-2024-00041,2400000,112,2,3,7,20,Fifth Settlement,,9.2,0.6,8.1,Semi-finished,Yes,Yes,Yes,Yes,Street,2025-09-22,46,Broker,No
NCR-2024-00042,2350000,104,2,2,10,20,New Cairo (Other),,13.8,7.1,4.6,Lux,Yes,No,Yes,No,Garden,2025-07-21,109,Owner,Yes
NCR-2024-00043,3450000,102,2,3,11,4,Fifth Settlement,Palm Hills,15.5,2.5,4.9,Super Lux,Yes,Yes,Yes,No,Street,2025-10-28,10,Broker,Yes
NCR-2024-00044,3350000,162,3,3,2,6,Fifth Settlement,,20.2,0.8,3.9,Lux,No,Yes,No,Yes,Street,2025-05-14,177,Broker,No
NCR-2024-00045,4900000,187,3,3,10,16,Rehab City,,17.1,6.9,5.5,Lux,Yes,No,No,Yes,Garden,2025-09-11,57,Owner,Yes
NCR-2024-00046,3550000,141,3,3,13,3,Katameya,Katameya Plaza,16.0,7.0,11.6,Semi-finished,Yes,No,Yes,No,Street,2025-11-05,2,Broker,Yes
NCR-2024-00047,1900000,109,2,1,10,15,Fifth Settlement,,11.5,5.0,12.7,Unfinished,Yes,No,No,No,Garden,2025-07-20,110,Broker,Yes
NCR-2024-00048,2850000,159,3,2,2,18,Katameya,,12.9,4.8,8.4,Lux,No,No,Yes,No,Street,2025-09-13,55,Owner,No
NCR-2024-00049,5250000,198,3,3,3,9,Fifth Settlement,Hyde Park,11.5,6.6,9.1,Super Lux,No,Yes,No,Yes,Street,2025-07-08,122,Broker,Yes
NCR-2024-00050,4700000,185,3,4,10,2,Madinaty,,21.4,6.4,3.4,Semi-finished,Yes,Yes,Yes,Yes,Compound,2025-08-27,72,Broker,Yes
NCR-2024-00051,4400000,142,3,4,12,2,Rehab City,,7.3,7.2,3.8,Super Lux,Yes,Yes,Yes,Yes,Compound,2025-06-20,140,Owner,Yes
NCR-2024-00052,1250000,71,1,2,7,16,Fifth Settlement,Moon Valley,2.1,4.6,6.1,Unfinished,Yes,No,Yes,No,Compound,2025-06-09,151,Owner,Yes
NCR-2024-00053,4650000,179,3,2,3,9,Rehab City,Rehab 2,17.0,7.8,9.5,Semi-finished,Yes,No,Yes,Yes,Compound,2025-09-10,58,Broker,Yes
NCR-2024-00054,2100000,91,2,3,7,16,Fifth Settlement,Mountain View,6.7,8.0,11.9,Unfinished,No,No,Yes,Yes,Garden,2025-10-03,35,Owner,Yes
NCR-2024-00055,6500000,217,3,3,9,16,Katameya,Katameya Dunes,22.5,1.4,10.3,Super Lux,Yes,Yes,Yes,Yes,Garden,2025-06-09,151,Owner,Yes
NCR-2024-00056,3200000,105,2,3,11,20,Madinaty,Madinaty B4,21.8,6.9,7.7,Super Lux,Yes,Yes,Yes,No,Garden,2025-09-22,46,Owner,Yes
NCR-2024-00057,3650000,108,2,3,10,3,Rehab City,Rehab 4,3.8,4.2,4.4,Lux,Yes,Yes,Yes,Yes,Compound,2025-07-01,129,Broker,No
NCR-2024-00058,3350000,123,2,3,12,20,Madinaty,Madinaty B2,4.4,3.4,12.4,Lux,Yes,Yes,No,No,Garden,2025-11-02,5,Owner,Yes
NCR-2024-00059,4350000,183,3,3,15,5,Rehab City,Rehab 2,13.4,5.1,7.4,Lux,No,No,No,No,Street,2025-06-02,158,Broker,Yes
NCR-2024-00060,3250000,135,2,3,11,11,Fifth Settlement,Hyde Park,16.0,0.9,11.8,Unfinished,Yes,Yes,Yes,No,Compound,2025-09-11,57,Broker,Yes
NCR-2024-00061,3350000,145,3,3,4,19,Rehab City,Rehab 1,8.3,4.3,9.2,Semi-finished,No,Yes,Yes,Yes,Compound,2025-10-22,16,Broker,No
NCR-2024-00062,2400000,102,2,3,7,16,Fifth Settlement,Moon Valley,18.5,7.0,11.9,Semi-finished,Yes,No,No,No,Compound,2025-07-20,110,Broker,Yes
NCR-2024-00063,3000000,125,2,2,9,16,Madinaty,Madinaty B2,15.7,2.1,13.9,Super Lux,Yes,Yes,No,Yes,Street,2025-08-21,78,Broker,Yes
NCR-2024-00064,3100000,161,3,2,14,9,Katameya,,9.5,3.7,14.1,Semi-finished,Yes,Yes,Yes,Yes,Street,2025-07-02,128,Broker,No
NCR-2024-00065,2800000,107,2,1,8,6,New Cairo (Other),Mirage City,2.6,7.5,9.4,Semi-finished,Yes,Yes,Yes,No,Street,2025-08-23,76,Broker,Yes
NCR-2024-00066,3150000,101,2,3,8,15,Madinaty,Madinaty B3,19.3,3.7,9.1,Lux,Yes,No,Yes,Yes,Garden,2025-10-30,8,Broker,Yes
NCR-2024-00067,4700000,191,3,3,9,12,Katameya,Katameya Dunes,6.9,3.2,6.2,Unfinished,Yes,No,Yes,Yes,Street,2025-11-03,4,Broker,Yes
NCR-2024-00068,4200000,148,2,2,14,2,Rehab City,Rehab 3,21.2,3.8,14.2,Super Lux,Yes,Yes,Yes,Yes,Street,2025-06-28,132,Broker,Yes
NCR-2024-00069,3800000,143,2,3,5,1,Fifth Settlement,Mountain View,11.7,4.4,8.5,Lux,Yes,Yes,Yes,Yes,Street,2025-08-29,70,Broker,Yes
NCR-2024-00070,3450000,119,2,3,14,15,Rehab City,Rehab 4,15.3,5.2,4.5,Super Lux,Yes,Yes,Yes,Yes,Street,2025-11-01,6,Broker,Yes
NCR-2024-00071,5000000,190,3,3,5,5,Rehab City,Rehab 3,22.1,6.5,8.2,Semi-finished,Yes,Yes,Yes,Yes,Garden,2025-08-25,74,Owner,Yes
NCR-2024-00072,5000000,210,3,3,3,5,Fifth Settlement,Palm Hills,21.9,3.9,4.5,Lux,Yes,Yes,Yes,Yes,Compound,2025-10-10,28,Broker,Yes
NCR-2024-00073,4350000,187,3,4,5,12,Rehab City,Rehab 1,10.5,6.6,9.0,Lux,No,Yes,Yes,No,Street,2025-08-09,90,Owner,No
NCR-2024-00074,4750000,158,3,4,8,6,Katameya,Lake View,6.8,4.5,9.7,Super Lux,Yes,Yes,No,Yes,Garden,2025-10-12,26,Broker,Yes
NCR-2024-00075,2900000,95,2,2,12,4,Katameya,Katameya Dunes,19.8,3.0,7.1,Super Lux,Yes,No,No,Yes,Street,2025-09-27,41,Broker,No
NCR-2024-00076,2950000,109,2,2,5,6,Fifth Settlement,,12.0,5.4,3.9,Super Lux,Yes,Yes,Yes,Yes,Street,2025-10-08,30,Owner,No
NCR-2024-00077,4900000,166,3,3,4,1,Madinaty,Madinaty B1,6.4,5.9,14.3,Lux,No,Yes,No,No,Garden,2025-05-27,164,Owner,Yes
NCR-2024-00078,3400000,142,2,3,8,16,Katameya,,22.8,4.7,12.3,Super Lux,Yes,Yes,Yes,No,Garden,2025-06-23,137,Owner,Yes
NCR-2024-00079,3400000,132,2,2,7,12,Fifth Settlement,,6.6,0.9,13.1,Lux,No,Yes,Yes,No,Compound,2025-07-20,110,Owner,Yes
NCR-2024-00080,3050000,126,2,2,15,20,Madinaty,Madinaty B2,2.6,1.8,7.4,Semi-finished,Yes,Yes,Yes,Yes,Garden,2025-09-12,56,Broker,Yes
NCR-2024-00081,4150000,137,2,1,14,20,Fifth Settlement,Moon Valley,2.5,2.6,12.1,Lux,Yes,Yes,Yes,Yes,Compound,2025-10-09,29,Broker,Yes
NCR-2024-00082,5350000,206,4,5,14,15,Katameya,Katameya Dunes,16.3,2.6,8.8,Semi-finished,Yes,No,Yes,Yes,Street,2025-08-11,88,Broker,Yes
NCR-2024-00083,4000000,148,2,2,6,19,Rehab City,Rehab 2,17.2,5.6,5.4,Super Lux,Yes,No,Yes,Yes,Street,2025-07-09,121,Broker,No
NCR-2024-00084,6000000,208,3,3,5,1,Rehab City,Rehab 1,9.2,0.6,4.5,Lux,Yes,No,Yes,Yes,Street,2025-07-02,128,Broker,Yes
NCR-2024-00085,2650000,100,2,2,14,4,Madinaty,Madinaty B2,9.4,6.2,7.1,Lux,No,Yes,Yes,No,Compound,2025-07-23,107,Broker,No
NCR-2024-00086,6550000,214,4,5,5,17,Rehab City,Rehab 1,9.8,2.5,4.7,Super Lux,Yes,No,Yes,Yes,Street,2025-10-01,37,Broker,Yes
NCR-2024-00087,2550000,92,2,2,13,6,Madinaty,Madinaty B1,17.6,2.8,15.0,Super Lux,No,Yes,No,No,Street,2025-08-25,74,Broker,No
NCR-2024-00088,3100000,147,2,3,10,10,Fifth Settlement,Palm Hills,3.3,4.5,3.6,Semi-finished,Yes,No,Yes,Yes,Garden,2025-08-16,83,Broker,Yes
NCR-2024-00089,5100000,208,3,3,2,10,Fifth Settlement,Moon Valley,23.4,2.1,8.3,Unfinished,Yes,Yes,Yes,No,Street,2025-06-04,156,Broker,Yes
NCR-2024-00090,4950000,162,3,4,13,16,Madinaty,Madinaty B4,7.1,7.1,8.4,Super Lux,Yes,Yes,Yes,Yes,Street,2025-07-15,115,Owner,Yes
NCR-2024-00091,3250000,142,2,1,15,15,Rehab City,Rehab 2,25.0,1.1,6.6,Lux,Yes,Yes,No,No,Street,2025-06-29,131,Broker,Yes
NCR-2024-00092,3400000,126,2,1,4,12,Madinaty,Madinaty B1,5.9,3.8,9.9,Unfinished,No,No,Yes,Yes,Street,2025-07-18,112,Broker,Yes
NCR-2024-00093,3650000,98,2,2,8,4,Fifth Settlement,Mountain View,19.7,6.9,4.8,Super Lux,Yes,No,Yes,No,Garden,2025-07-27,103,Broker,Yes
NCR-2024-00094,2850000,104,2,3,8,19,Fifth Settlement,Moon Valley,7.1,5.1,12.4,Lux,No,No,Yes,Yes,Garden,2025-10-25,13,Broker,Yes
NCR-2024-00095,1800000,92,2,2,11,15,Madinaty,Madinaty B1,3.9,2.7,7.0,Unfinished,Yes,Yes,Yes,Yes,Street,2025-09-21,47,Broker,Yes
NCR-2024-00096,2250000,118,2,3,1,15,Madinaty,Madinaty B3,22.1,3.7,10.1,Unfinished,Yes,Yes,Yes,Yes,Street,2025-07-13,117,Broker,Yes
NCR-2024-00097,2400000,95,2,3,2,15,Fifth Settlement,,21.8,5.8,11.6,Lux,No,No,Yes,Yes,Compound,2025-06-07,153,Owner,Yes
NCR-2024-00098,2950000,106,2,2,5,13,Rehab City,Rehab 4,11.3,7.8,13.7,Super Lux,Yes,Yes,Yes,No,Garden,2025-05-19,172,Broker,Yes
NCR-2024-00099,4600000,165,3,4,9,5,Rehab City,,18.2,7.2,13.0,Super Lux,No,No,Yes,No,Garden,2025-05-16,175,Owner,Yes
NCR-2024-00100,5250000,220,4,4,10,1,New Cairo (Other),Gardenia Springs,14.8,3.1,10.3,Semi-finished,Yes,Yes,Yes,No,Garden,2025-10-02,36,Owner,Yes
NCR-2024-00101,4400000,211,3,4,11,13,Katameya,Lake View,21.6,8.0,7.7,Unfinished,No,Yes,Yes,No,Street,2025-10-25,13,Broker,Yes
NCR-2024-00102,3250000,110,2,2,12,15,Katameya,Katameya Dunes,9.2,0.5,9.0,Lux,Yes,No,Yes,Yes,Compound,2025-08-17,82,Owner,Yes
NCR-2024-00103,2600000,146,2,2,13,19,Fifth Settlement,Palm Hills,14.0,0.7,12.2,Semi-finished,Yes,Yes,No,No,Garden,2025-10-30,8,Owner,Yes
NCR-2024-00104,4300000,210,4,5,11,12,Rehab City,,13.2,6.7,13.5,Semi-finished,Yes,No,Yes,Yes,Street,2025-07-31,99,Broker,Yes
NCR-2024-00105,3350000,127,2,2,7,14,Fifth Settlement,Moon Valley,10.1,2.0,4.2,Semi-finished,Yes,Yes,Yes,No,Garden,2025-09-06,62,Broker,No
NCR-2024-00106,2450000,97,2,1,10,11,Katameya,Katameya Heights,22.5,1.0,7.6,Semi-finished,Yes,No,Yes,Yes,Street,2025-10-28,10,Owner,Yes
NCR-2024-00107,3850000,174,3,3,5,8,Fifth Settlement,Moon Valley,5.8,2.3,12.3,Semi-finished,Yes,Yes,Yes,No,Street,2025-10-31,7,Broker,No
NCR-2024-00108,3900000,153,3,3,1,17,Fifth Settlement,,5.4,3.7,8.2,Lux,Yes,No,No,Yes,Compound,2025-09-16,52,Broker,Yes
NCR-2024-00109,4200000,153,3,4,15,20,Fifth Settlement,Moon Valley,15.3,6.0,7.0,Super Lux,Yes,Yes,Yes,Yes,Compound,2025-07-12,118,Owner,Yes
NCR-2024-00110,2400000,99,2,2,15,13,Fifth Settlement,,17.1,5.2,7.9,Semi-finished,Yes,Yes,Yes,Yes,Street,2025-09-12,56,Broker,Yes
NCR-2024-00111,1850000,71,1,2,6,19,Katameya,,6.5,2.3,10.2,Lux,Yes,Yes,Yes,Yes,Street,2025-05-28,163,Broker,Yes
NCR-2024-00112,7050000,237,4,4,12,3,Rehab City,,11.0,4.3,15.0,Lux,Yes,No,Yes,Yes,Compound,2025-08-04,95,Broker,Yes
NCR-2024-00113,3500000,133,2,2,8,7,Katameya,Katameya Plaza,23.8,7.4,8.9,Semi-finished,Yes,Yes,No,Yes,Street,2025-05-30,161,Broker,Yes
NCR-2024-00114,3850000,173,3,4,7,7,Madinaty,Madinaty B4,7.7,6.6,5.5,Semi-finished,Yes,Yes,Yes,No,Garden,2025-06-27,133,Broker,No
NCR-2024-00115,4300000,180,3,3,2,15,Katameya,Katameya Dunes,17.4,2.9,5.0,Unfinished,Yes,No,Yes,Yes,Garden,2025-07-03,127,Broker,Yes
NCR-2024-00116,4300000,149,3,4,12,9,Fifth Settlement,,19.0,7.9,3.5,Super Lux,Yes,Yes,Yes,No,Garden,2025-08-20,79,Owner,Yes
NCR-2024-00117,3400000,147,2,3,5,20,Rehab City,Rehab 3,12.3,5.8,9.7,Lux,No,Yes,No,Yes,Garden,2025-08-07,92,Broker,Yes
NCR-2024-00118,2950000,106,2,2,14,16,Katameya,Katameya Plaza,23.6,1.0,9.5,Super Lux,Yes,Yes,No,Yes,Garden,2025-10-01,37,Broker,Yes
NCR-2024-00119,4600000,156,3,2,11,0,Fifth Settlement,Palm Hills,18.9,0.8,5.5,Unfinished,Yes,No,Yes,Yes,Compound,2025-10-05,33,Broker,Yes
NCR-2024-00120,5700000,206,3,3,4,17,Madinaty,Madinaty B2,12.5,1.8,11.3,Super Lux,Yes,Yes,Yes,Yes,Street,2025-06-26,134,Broker,Yes
NCR-2024-00121,4200000,201,3,3,9,9,Madinaty,,15.1,6.0,11.9,Semi-finished,Yes,Yes,Yes,Yes,Compound,2025-09-22,46,Broker,Yes
NCR-2024-00122,2350000,120,2,3,10,20,Katameya,Katameya Heights,17.9,1.9,6.1,Semi-finished,No,No,Yes,Yes,Street,2025-10-08,30,Owner,Yes
NCR-2024-00123,4400000,140,2,2,1,3,Rehab City,Rehab 2,15.6,4.3,7.1,Lux,No,No,No,Yes,Street,2025-10-18,20,Broker,Yes
NCR-2024-00124,2250000,140,3,3,12,0,Fifth Settlement,,22.2,1.2,14.9,Unfinished,Yes,Yes,No,No,Street,2025-10-25,13,Broker,Yes
NCR-2024-00125,3700000,151,3,3,6,3,Fifth Settlement,Hyde Park,10.2,7.4,7.5,Semi-finished,Yes,No,Yes,Yes,Garden,2025-08-28,71,Broker,Yes
NCR-2024-00126,4150000,143,3,2,3,3,Rehab City,,8.9,3.1,12.1,Lux,Yes,No,Yes,Yes,Street,2025-05-15,176,Broker,Yes
NCR-2024-00127,3700000,131,2,2,11,3,Fifth Settlement,Moon Valley,6.9,7.3,8.4,Super Lux,Yes,Yes,Yes,No,Compound,2025-10-30,8,Broker,Yes
NCR-2024-00128,3350000,152,3,4,9,16,Katameya,,2.9,7.6,12.5,Lux,No,No,Yes,No,Garden,2025-08-29,70,Broker,No
NCR-2024-00129,4550000,143,3,4,5,8,Rehab City,,3.0,0.5,12.2,Lux,Yes,Yes,Yes,Yes,Street,2025-06-20,140,Owner,Yes
NCR-2024-00130,3850000,208,3,4,13,18,Fifth Settlement,Mountain View,22.0,4.0,11.0,Semi-finished,Yes,Yes,Yes,No,Garden,2025-09-23,45,Broker,Yes
NCR-2024-00131,2000000,108,2,3,6,12,Madinaty,Madinaty B2,17.6,0.7,13.3,Unfinished,Yes,Yes,No,No,Compound,2025-07-31,99,Owner,Yes
NCR-2024-00132,2250000,61,1,1,11,3,Madinaty,,17.2,7.3,14.3,Super Lux,Yes,Yes,Yes,Yes,Garden,2025-11-04,3,Owner,Yes
NCR-2024-00133,4650000,151,3,4,9,4,Katameya,Katameya Plaza,16.1,4.4,10.0,Lux,Yes,Yes,Yes,Yes,Street,2025-06-10,150,Broker,Yes
NCR-2024-00134,2800000,106,2,1,9,12,Fifth Settlement,Mountain View,21.5,1.1,5.8,Lux,No,No,Yes,No,Compound,2025-05-14,177,Broker,No
NCR-2024-00135,2900000,99,2,2,8,15,Katameya,,13.0,1.3,7.8,Super Lux,Yes,Yes,Yes,Yes,Garden,2025-07-05,125,Broker,Yes
NCR-2024-00136,7100000,297,4,4,9,4,Rehab City,,22.0,3.4,12.1,Lux,No,Yes,Yes,Yes,Street,2025-05-15,176,Broker,Yes
NCR-2024-00137,3350000,95,2,1,4,7,New Cairo (Other),Mirage City,10.3,7.6,10.8,Lux,Yes,Yes,Yes,Yes,Street,2025-07-30,100,Broker,Yes
NCR-2024-00138,3400000,147,3,4,6,15,New Cairo (Other),Mirage City,23.3,5.7,5.1,Lux,Yes,No,No,No,Garden,2025-07-03,127,Owner,Yes
NCR-2024-00139,3000000,140,2,2,5,0,Madinaty,Madinaty B1,18.1,7.0,3.6,Semi-finished,Yes,Yes,No,No,Compound,2025-09-11,57,Broker,Yes
NCR-2024-00140,4050000,150,3,4,5,5,Rehab City,Rehab 2,7.9,3.2,11.2,Semi-finished,Yes,Yes,Yes,No,Street,2025-08-14,85,Broker,Yes
NCR-2024-00141,7600000,262,4,4,4,10,Rehab City,Rehab 3,15.0,0.8,6.0,Super Lux,No,Yes,Yes,No,Street,2025-08-11,88,Broker,Yes
NCR-2024-00142,3450000,146,2,2,2,15,Fifth Settlement,Palm Hills,14.3,7.8,9.0,Semi-finished,Yes,No,Yes,Yes,Compound,2025-07-29,101,Broker,Yes
NCR-2024-00143,2100000,71,1,2,12,4,Madinaty,Madinaty B3,5.2,0.6,12.0,Semi-finished,Yes,Yes,Yes,Yes,Street,2025-05-11,180,Broker,Yes
NCR-2024-00144,2000000,98,2,2,6,15,Katameya,Katameya Plaza,15.6,7.6,9.8,Semi-finished,Yes,No,Yes,No,Compound,2025-07-22,108,Broker,No
NCR-2024-00145,3050000,91,2,2,9,6,Rehab City,Rehab 1,9.2,3.3,4.0,Lux,Yes,Yes,Yes,No,Street,2025-07-10,120,Broker,Yes
NCR-2024-00146,3650000,147,3,2,12,18,Fifth Settlement,Palm Hills,3.2,0.6,5.2,Semi-finished,No,Yes,Yes,Yes,Garden,2025-09-13,55,Broker,Yes
NCR-2024-00147,4150000,150,3,3,1,0,Fifth Settlement,Moon Valley,23.8,5.7,5.6,Semi-finished,Yes,Yes,Yes,Yes,Street,2025-05-17,174,Owner,Yes
NCR-2024-00148,4400000,149,2,3,14,8,Rehab City,Rehab 2,16.8,7.9,6.1,Lux,Yes,No,Yes,Yes,Compound,2025-10-15,23,Owner,No
NCR-2024-00149,3250000,142,2,2,7,17,Fifth Settlement,,22.2,7.7,9.8,Lux,Yes,Yes,No,Yes,Garden,2025-09-12,56,Broker,Yes
NCR-2024-00150,3000000,125,2,3,6,12,Fifth Settlement,Palm Hills,17.5,1.7,9.0,Unfinished,Yes,Yes,Yes,Yes,Compound,2025-05-25,166,Broker,Yes
NCR-2024-00151,3600000,149,3,4,3,14,Madinaty,Madinaty B2,10.2,1.9,5.4,Semi-finished,Yes,Yes,No,Yes,Garden,2025-08-26,73,Broker,Yes
NCR-2024-00152,1950000,80,1,2,1,2,Katameya,Lake View,13.8,4.7,3.8,Unfinished,No,Yes,No,No,Street,2025-05-14,177,Broker,No
NCR-2024-00153,3350000,147,3,4,13,9,Fifth Settlement,,17.5,5.3,5.1,Semi-finished,Yes,Yes,Yes,Yes,Street,2025-07-12,118,Broker,Yes
NCR-2024-00154,4200000,175,3,3,4,8,Rehab City,Rehab 4,24.1,6.0,14.8,Lux,Yes,No,Yes,No,Garden,2025-07-19,111,Broker,Yes
NCR-2024-00155,5900000,215,3,4,15,12,Fifth Settlement,Palm Hills,7.8,1.9,8.6,Super Lux,Yes,Yes,Yes,Yes,Garden,2025-06-17,143,Broker,Yes
